video,tracker,avg_iou,avg_fps
Tiger2,CSRT,0.6529,43
Tiger2,MOSSE,0.0885,2957
Tiger2,MedianFlow,0.2602,1059
Trans,KCF,0.5126,93
Trans,CSRT,0.5204,32
Trans,MOSSE,0.5535,760
Trans,MedianFlow,0.4299,2960
Trellis,KCF,0.3131,506
Trellis,CSRT,0.6597,48
Trellis,MOSSE,0.5605,2131
Trellis,MedianFlow,0.3940,2765
Twinnings,KCF,0.2110,304
Twinnings,CSRT,0.7153,56
Twinnings,MOSSE,0.0000,4852
Twinnings,MedianFlow,0.4589,2756
Walking2,KCF,0.2723,265
Walking2,CSRT,0.7356,49
Walking2,MOSSE,0.0000,4981
Walking2,MedianFlow,0.2867,2780
Woman,KCF,0.0413,580
Woman,CSRT,0.7545,43
Woman,MOSSE,0.0000,6591
Woman,MedianFlow,0.0954,3296
Basketball,Kalman_PredictOnly,0.0736,206492
Basketball,Kalman_PredictOnly,0.0736,241082
Biker,Kalman_PredictOnly,0.0421,0
Bird2,Kalman_PredictOnly,0.1196,0
BlurBody,Kalman_PredictOnly,0.0854,332706
BlurCar1,Kalman_PredictOnly,0.2722,370482
BlurCar2,Kalman_PredictOnly,0.3339,292055
BlurCar3,Kalman_PredictOnly,0.2286,0
BlurCar4,Kalman_PredictOnly,0.4562,380024
BlurFace,Kalman_PredictOnly,0.2140,492387
BlurOwl,Kalman_PredictOnly,0.1388,210015
Board,Kalman_PredictOnly,0.0993,696220
Bolt,Kalman_PredictOnly,0.1521,0
Bolt2,Kalman_PredictOnly,0.1012,291673
Box,Kalman_PredictOnly,0.0903,289830
Boy,Kalman_PredictOnly,0.1259,300521
Car1,Kalman_PredictOnly,0.0907,339745
Car2,Kalman_PredictOnly,0.3667,456577
Car24,Kalman_PredictOnly,0.0901,382266
Car4,Kalman_PredictOnly,0.2081,218966
CarDark,Kalman_PredictOnly,0.0691,196201
CarScale,Kalman_PredictOnly,0.0412,125613
ClifBar,Kalman_PredictOnly,0.3102,471821
Coke,Kalman_PredictOnly,0.1745,290021
Couple,Kalman_PredictOnly,0.0400,0
Crowds,Kalman_PredictOnly,0.0101,172930
Dancer,Kalman_PredictOnly,0.3045,0
Dancer2,Kalman_PredictOnly,0.4449,148797
David2,Kalman_PredictOnly,0.1311,267987
David3,Kalman_PredictOnly,0.0203,0
Deer,Kalman_PredictOnly,0.0792,0
Dog,Kalman_PredictOnly,0.1935,0
Dog1,Kalman_PredictOnly,0.1554,449592
Doll,Kalman_PredictOnly,0.1443,322555
Dudek,Kalman_PredictOnly,0.2035,286054
FaceOcc2,Kalman_PredictOnly,0.5861,405722
Fish,Kalman_PredictOnly,0.3587,237573
FleetFace,Kalman_PredictOnly,0.0259,235256
Football,Kalman_PredictOnly,0.0778,180513
Freeman1,Kalman_PredictOnly,0.0318,0
Girl,Kalman_PredictOnly,0.4944,0
Girl2,Kalman_PredictOnly,0.0980,374754
Gym,Kalman_PredictOnly,0.1208,382435
Human4,Kalman_PredictOnly,0.0111,665730
Human5,Kalman_PredictOnly,0.0177,713582
Human6,Kalman_PredictOnly,0.0198,263916
Human7,Kalman_PredictOnly,0.2287,0
Human8,Kalman_PredictOnly,0.0797,0
Jogging,Kalman_PredictOnly,0.2995,0
Jumping,Kalman_PredictOnly,0.1816,312097
KiteSurf,Kalman_PredictOnly,0.0763,0
Lemming,Kalman_PredictOnly,0.0566,222463
Liquor,Kalman_PredictOnly,0.5410,347925
Man,Kalman_PredictOnly,0.2596,132977
Matrix,Kalman_PredictOnly,0.1562,0
Mhyang,Kalman_PredictOnly,0.2954,496527
MotorRolling,Kalman_PredictOnly,0.1557,0
MountainBike,Kalman_PredictOnly,0.0683,0
RedTeam,Kalman_PredictOnly,0.1388,239492
Shaking,Kalman_PredictOnly,0.1171,181861
Singer1,Kalman_PredictOnly,0.0328,350275
Singer2,Kalman_PredictOnly,0.2056,182600
Skater,Kalman_PredictOnly,0.4298,0
Skater2,Kalman_PredictOnly,0.2224,433721
Skating2,Kalman_PredictOnly,0.3298,235932
Skiing,Kalman_PredictOnly,0.0228,0
Soccer,Kalman_PredictOnly,0.1707,195630
Subway,Kalman_PredictOnly,0.0345,174137
Suv,Kalman_PredictOnly,0.1868,314714
Sylvester,Kalman_PredictOnly,0.2383,268755
Tiger1,Kalman_PredictOnly,0.2322,353615
Tiger2,Kalman_PredictOnly,0.0226,363939
Trans,Kalman_PredictOnly,0.3488,123332
Trellis,Kalman_PredictOnly,0.3261,283885
Twinnings,Kalman_PredictOnly,0.1991,471596
Walking2,Kalman_PredictOnly,0.0928,498798
Woman,Kalman_PredictOnly,0.1831,596612
